[GEO] Natural Earth 10m Coastline
N009.10.56.493 W060.50.42.735 N009.11.38.534 W060.51.12.032 COLOR_Coastline
N009.11.38.534 W060.51.12.032 N009.11.41.171 W060.52.19.708 COLOR_Coastline
N009.11.41.171 W060.52.19.708 N009.11.07.772 W060.54.26.270 COLOR_Coastline
N009.11.07.772 W060.54.26.270 N009.09.52.626 W060.56.12.325 COLOR_Coastline
N009.09.52.626 W060.56.12.325 N009.08.11.844 W060.56.32.247 COLOR_Coastline
N009.08.11.844 W060.56.32.247 N009.06.14.364 W060.56.37.813 COLOR_Coastline
N009.06.14.364 W060.56.37.813 N009.04.09.852 W060.57.40.655 COLOR_Coastline
N009.04.09.852 W060.57.40.655 N009.04.55.555 W060.56.22.872 COLOR_Coastline
N009.04.55.555 W060.56.22.872 N009.05.54.881 W060.53.22.989 COLOR_Coastline
N009.05.54.881 W060.53.22.989 N009.06.59.774 W060.52.23.370 COLOR_Coastline
N009.12.21.600 W060.49.04.298 N009.11.15.682 W060.49.44.288 COLOR_Coastline
